Title,US_Gross,Worldwide_Gross,US_DVD_Sales,Production_Budget
Annie Get Your Gun,8000000,8000000,,3768785
Alice in Wonderland,0,0,,3000000
The Princess and the Cobbler,669276,669276,,24000000
The Alamo,7900000,7900000,,12000000
Alexander's Ragtime Band,4000000,4000000,,2000000
Alive,36299670,36299670,,32000000
Amen,274299,274299,,14000000
American Graffiti,115000000,140000000,,777000
American Ninja 2: The Confrontation,4000000,4000000,,350000
The American President,60022813,107822813,,62000000
Annie Hall,38251425,38251425,,4000000
Anatomie,9598,9598,,2500000
The Adventures of Huck Finn,24103594,24103594,,6500000
The Apartment,18600000,24600000,,3000000
Apocalypse Now,78800000,78800000,3479242,31500000
Arachnophobia,53208180,53208180,,31000000
Arn - Tempelriddaren,0,14900000,,16500000
Arnolds Park,23616,23616,,600000
Sweet Sweetback's Baad Asssss Song,15200000,15200000,,150000
And Then Came Love,8158,8158,,989000
Around the World in 80 Days,42000000,42000000,,6000000
Barbarella,0,0,,9000000
Barry Lyndon,20000000,20000000,,11000000
"Barbarians, The",800000,800000,,4000000
Babe,63658910,246100000,,30000000
Boynton Beach Club,3127472,3127472,,2900000
Baby's Day Out,16581575,16581575,,50000000
Bound by Honor,4496583,4496583,,35000000
"Bon Cop, Bad Cop",12671300,12671300,,8000000
Back to the Future,210609762,381109762,,19000000
Back to the Future Part II,118450002,332000000,,40000000
Back to the Future Part III,87666629,243700000,,40000000
Butch Cassidy and the Sundance Kid,102308900,102308900,,6000000
Bad Boys,65647413,141247413,,23000000
Body Double,8801940,8801940,,10000000
"The Beast from 20,000 Fathoms",5000000,5000000,,210000
Beastmaster 2: Through the Portal of Time,773490,773490,,6000000
The Beastmaster,10751126,10751126,,5000000
Ben-Hur,9000000,9000000,,3900000
Ben-Hur,73000000,73000000,,15000000
Benji,31559560,31559560,,500000
Before Sunrise,5274005,5274005,,2500000
Beauty and the Beast,171340294,403476931,,20000000
The Best Years of Our Lives,23600000,23600000,,2100000
The Ballad of Gregorio Cortez,909000,909000,,1305000
My Big Fat Independent Movie,4655,4655,,3000000
Battle for the Planet of the Apes,8800000,8800000,,1800000
Big Things,0,0,,50000
Bogus,4357406,4357406,,32000000
Beverly Hills Cop,234760478,316300000,,15000000
Beverly Hills Cop II,153665036,276665036,,20000000
Beverly Hills Cop III,42586861,119180938,,50000000
The Black Hole,35841901,35841901,,20000000
Bathory,0,3436763,,15000000
Big,114968774,151668774,,18000000
The Big Parade,11000000,22000000,,245000
Boyz n the Hood,56190094,56190094,,6500000
"The Book of Mormon Movie, Volume 1: The Journey",1660865,1660865,,2000000
Return to the Blue Lagoon,2000000,2000000,,11000000
"Bright Lights, Big City",16118077,16118077,,25000000
The Blue Bird,887000,887000,,1200000
The Blue Butterfly,1610194,1610194,,10400000
Blade Runner,32656328,33139618,,28000000
Bloodsport,11806119,11806119,,1500000
The Blues Brothers,57229890,57229890,,27000000
Blow Out,13747234,13747234,,18000000
De battre mon coeur s'est arrÃtÃ,1023424,8589831,,5500000
The Broadway Melody,2800000,4358000,,379000
Boom Town,9172000,9172000,,2000000
Bound,3802260,6300000,,4500000
Bang,527,527,,10000
Bananas,,,,2000000
Bill & Ted's Bogus Journey,37537675,37537675,,20000000
The Birth of a Nation,10000000,11000000,,110000
The Ballad of Cable Hogue,3500000,5000000,,3716946
The Blood of Heroes,882290,882290,,7700000
The Blood of My Brother: A Story of Death in Iraq,0,0,,120000
Boomerang,70052444,131052444,,42000000
The Bridge on the River Kwai,33300000,33300000,,3000000
Born on the Fourth of July,70001698,70001698,,14000000
Basquiat,2962051,2962051,,3000000
Black Rain,45892212,45892212,,30000000
Bottle Rocket,407488,407488,,5000000
Braindead,242623,242623,,3000000
The Bridges of Madison County,71516617,175516617,,22000000
The Brothers McMullen,10426506,10426506,,25000
Dracula,82522790,215862692,,40000000
Broken Arrow,70645997,148345997,,65000000
Brainstorm,8921050,8921050,,15000000
Braveheart,75545647,209000000,,72000000
Les BronzÃs 3: amis pour la vie,0,83833602,,42000000
Brazil,9929135,9929135,,15000000
Blazing Saddles,119500000,119500000,,2600000
The Basket,609042,609042,,1300000
Bathing Beauty,3500000,3500000,,2361000
Bill & Ted's Excellent Adventure,39916091,39916091,,10000000
A Bridge Too Far,50800000,50800000,,26000000
Beetle Juice,73326666,73326666,,15000000
Batman Returns,162831698,266822354,,80000000
Batman Forever,184031112,336529144,,100000000
Batman - The Movie,0,0,,1377800
Batman,251188924,411348924,,35000000
Buffy the Vampire Slayer,14231669,14231669,,7000000
Bienvenue chez les Ch'tis,1470856,243470856,,16000000
Beyond the Valley of the Dolls,9000000,9000000,,1000000
Broken Vessels,15030,85343,,600000
The Boys from Brazil,19000000,19000000,,12000000
The Business of Fancy Dancing,174682,174682,,200000
Caddyshack,39846344,39846344,,6000000
Cape Fear,79091969,182291969,,35000000
Clear and Present Danger,122012656,207500000,,62000000
Carrie,25878153,25878153,,1800000
Casino Royale,22744718,41744718,,12000000
Camping Sauvage,3479302,3479302,,4600000
The Cotton Club,25928721,25928721,,48000000
Crop Circles: Quest for Truth,0,0,,600000
Close Encounters of the Third Kind,166000000,337700000,,20000000
The Cable Guy,60240295,102825796,,47000000
Chocolate: Deep Dark Secrets,49000,1549000,,1000000
Child's Play,33244684,44196684,,9000000
Child's Play 2,26904572,34166572,,13000000
Chain Reaction,21226204,60209334,,55000000
Charly,814666,814666,,950000
Chariots of Fire,57159946,57159946,,5500000
A Christmas Story,19294144,19294144,,3250000
Cat on a Hot Tin Roof,17570324,17570324,,3000000
C.H.U.D.,4700000,4700000,,1250000
"Charge of the Light Brigade, The",0,0,,1200000
Crooklyn,13024170,13024170,,14000000
Festen,1647780,1647780,,1300000
Cleopatra,48000000,62000000,,36000000
Cliffhanger,84049211,255000000,,65000000
The Californians,4134,4134,,500000
The Client,92115211,117615211,,45000000
The Calling,32092,32092,,160000
Clueless,56598476,56598476,,13700000
The Color Purple,93589701,93589701,,15000000
Clerks,3073428,3073428,,27000
Central do Brasil,5969553,17006158,,2900000
Clash of the Titans,30000000,30000000,,15000000
Clockwatchers,444354,444354,,2000000
Commando,35073978,35073978,,10000000
The Color of Money,52293000,52293000,,10000000
Cinderella,85000000,85000000,,2900000
Congo,81022333,152022333,,50000000
Conan the Barbarian,38264085,38264085,,20000000
Conan the Destroyer,26400000,26400000,,18000000
Class of 1984,6965361,6965361,,3250000
The Clan of the Cave Bear,1953732,1953732,,15000000
The Case of the Grinning Cat,7033,7033,,200000
Bacheha-Ye aseman,925402,925402,,180000
Coming Home,32653000,32653000,,3000000
Nanjing! Nanjing!,0,20000000,,12000000
Cool Runnings,68856263,155056263,,14000000
Conquest of the Planet of the Apes,9700000,9700000,,1700000
Cure,94596,94596,,10000
Crocodile Dundee,174803506,328000000,,5000000
Dayereh,673780,673780,,10000
Karakter,713413,713413,,4500000
Creepshow,20036244,20036244,,8000000
Creepshow 2,14000000,14000000,,3500000
The Crying Game,62546695,62546695,,4000000
Crimson Tide,91387195,159387195,,55000000
Caravans,1000000,1000000,,14000000
Crying With Laughter,0,0,,820000
Fengkuang de Shitou,0,3000000,,500000
Casablanca,10462500,10462500,,950000
Casino,42438300,110400000,,52000000
Casper,100328194,282300000,,55000000
Can't Stop the Music,2000000,2000000,,20000000
Catch-22,24911670,24911670,,18000000
City Hall,20278055,20278055,,40000000
Cutthroat Island,10017322,10017322,,92000000
La femme de chambre du Titanic,244465,244465,,10000000
Cat People,4000000,8000000,,134000
Courage Under Fire,59003384,100833145,,46000000
C'era una volta il West,5321508,5321508,,5000000
The Conversation,4420000,4420000,,1600000
Cavite,70071,71644,,7000
Copycat,32051917,32051917,,20000000
Dark Angel,4372561,4372561,,7000000
"Boot, Das",11487676,84970337,,12000000
Desperado,25532388,25532388,,7000000
Dumb & Dumber,127175374,246400000,,16000000
Diamonds Are Forever,43800000,116000000,,7200000
The Dark Half,9579068,9579068,,15000000
The Dark Hours,423,423,,400000
Dante's Peak,67163857,178200000,,115000000
Daylight,32908290,158908290,,80000000
Dick Tracy,103738726,162738726,,47000000
Decoys,84733,84733,,5000000
Dawn of the Dead,5100000,55000000,,1500000
The Addams Family,113502246,191502246,,30000000
Death Becomes Her,58422650,149022650,,55000000
Def-Con 4,210904,210904,,1300000
Dead Poets' Society,95860116,239500000,,16400000
The Day the Earth Stood Still,3700000,3700000,,1200000
Deep Throat,45000000,45000000,,25000
The Dead Zone,20766000,20766000,,10000000
Die Hard 2,117323878,239814025,,70000000
Die Hard: With a Vengeance,100012499,364480746,,90000000
Dragonheart,51364680,104364680,,57000000
Die Hard,81350242,139109346,,28000000
Diner,12592907,12592907,,5000000
Dil Jo Bhi Kahey...,129319,129319,,1600000
Don Juan DeMarco,22032635,22032635,,25000000
Tales from the Crypt: Demon Knight,21089146,21089146,,12000000
Damnation Alley,,,,17000000
Dead Man Walking,39387284,83088295,,11000000
Dances with Wolves,184208842,424200000,,19000000
Dangerous Liaisons,34700000,34700000,,14000000
Donovan's Reef,6600000,6600000,,2686000
Due occhi diabolici,349618,349618,,9000000
Double Impact,29090445,29090445,,16000000
The Doors,34167219,34167219,,40000000
Day of the Dead,5804262,34004262,,3500000
Days of Thunder,82670733,157670733,,60000000
Dracula: Pages from a Virgin's Diary,39659,84788,,1100000
Dolphin,14000,14000,,170000
Death Race 2000,,,,300000
Drei,0,0,,7200000
The Dress,16556,16556,,2650000
The Deer Hunter,50000000,50000000,,15000000
Dragonslayer,6000000,6000000,,18000000
Driving Miss Daisy,106593296,106593296,,7500000
Dressed to Kill,31899000,31899000,,6500000
Do the Right Thing,26004026,26004026,,6000000
Dune,27447471,27447471,,45000000
Dolphins and Whales Tribes of the Ocean 3D,7714996,17252287,,6000000
Down & Out with the Dolls,58936,58936,,1200000
Dream With The Fishes,542909,542909,,1000000
Doctor Zhivago,111721000,111721000,,11000000
The Evil Dead,2400000,29400000,,375000
Evil Dead II,5923044,5923044,,3500000
Army of Darkness,11502976,21502976,,11000000
Ed and his Dead Mother,673,673,,1800000
Edward Scissorhands,53976987,53976987,,20000000
Ed Wood,5828466,5828466,,18000000
The Egyptian,15000000,15000000,,5000000
Everyone Says I Love You,9725847,34600000,,20000000
The Elephant Man,26010864,26010864,,5000000
Emma,22231658,37831658,,5900000
Star Wars Ep. V: The Empire Strikes Back,290271960,534171960,10027926,23000000
Escape from New York,25244700,25244700,,6000000
Escape from L.A.,25426861,25426861,,50000000
Escape from the Planet of the Apes,12300000,12300000,,2500000
Eraser,101295562,234400000,,100000000
Eraserhead,7000000,7000000,,100000
Everything You Always Wanted to Know,18016290,18016290,,2000000
ET: The Extra-Terrestrial,435110554,792910554,,10500000
Excessive Force,1152117,1152117,,13000000
Exorcist II: The Heretic,25011000,25011000,,14000000
Exotica,5046118,5046118,,1500000
Force 10 from Navarone,7100000,7100000,,5000000
A Farewell To Arms,11000000,11000000,,5000000
Fatal Attraction,156645693,320100000,,14000000
Family Plot,13200000,13200000,,3000000
Fabled,31425,31425,,400000
Fetching Cody,0,0,,1500000
The French Connection,41158757,41158757,,2200000
From Dusk Till Dawn,25728961,25728961,,20000000
Friday the 13th,39754601,59754601,,550000
Friday the 13th Part 3,36690067,36690067,,2250000
Friday the 13th Part IV: The Final Chapter,32980880,32980880,,2600000
Friday the 13th Part V: A New Beginning,21930418,21930418,,2200000
Friday the 13th Part VI: Jason Lives,19472057,19472057,,3000000
Friday the 13th Part VII: The New Blood,19170001,19170001,,2800000
Friday the 13th Part VIII: Jason Takes Manhattan,14343976,14343976,,5000000
Jason Goes to Hell: The Final Friday,15935068,15935068,,3000000
Per qualche dollaro in piË,4300000,4300000,,600000
Per un pugno di dollari,3500000,3500000,,200000
The Fall of the Roman Empire,4750000,4750000,,19000000
Friday the 13th Part 2,21722776,21722776,,1250000
Faithful,2104439,2104439,,13000000
Fair Game,11497497,11497497,,50000000
A Few Good Men,141340178,236500000,,33000000
The Fugitive,183875760,368900000,,44000000
From Here to Eternity,30500000,30500000,,1650000
First Morning,87264,87264,,300000
Shooting Fish,302204,302204,,4000000
F.I.S.T,20388920,20388920,,11000000
Flashdance,90463574,201463574,,7000000
Fled,17192205,19892205,,30000000
Flash Gordon,27107960,27107960,,35000000
The Flintstones,130531208,358500000,,45000000
Flight of the Intruder,14471440,14471440,,35000000
Flatliners,61308153,61308153,,26000000
The Flower of Evil,181798,181798,,6000000
Funny Ha Ha,77070,77070,,30000
The Funeral,1212799,1412799,,12500000
Fantasia,83320000,83320000,,2280000
Fantasia 2000 (IMAX),60507228,60507228,,80000000
The Fog,21378361,21378361,,1000000
Forrest Gump,329694499,679400525,,55000000
Fortress,6730578,46730578,,12000000
Fiddler on the Roof,80500000,80500000,,9000000
The Front Page,15000000,15000000,,4000000
First Blood,47212904,125212904,,14000000
Friday,27467564,27936778,,3500000
Freeze Frame,0,91062,,2000000
Firefox,45785720,45785720,,21000000
Fargo,24567751,51204567,,7000000
First Knight,37361412,127361412,,75000000
From Russia With Love,24800000,78900000,,2000000
The Firm,158340892,270340892,,42000000
Frenzy,12600000,12600000,,3500000
Footloose,80000000,80000000,,8200000
Fast Times at Ridgemont High,27092880,27092880,,4500000
Fighting Tommy Riley,10514,10514,,300000
The First Wives Club,105489203,181489203,,30000000
Flirting with Disaster,14853474,14853474,,7000000
For Your Eyes Only,54800000,195300000,,28000000
Fiza,623791,1179462,,1000000
Grip: A Criminal's Story,1336,1336,,12000
The Ghost and the Darkness,38564422,38564422,,55000000
Gallipoli,5732587,5732587,,3000000
Gabriela,2335352,2335352,,50000
"Il buono, il brutto, il cattivo",6100000,6100000,,1200000
Graduation Day,23894000,23894000,,250000
The Godfather: Part II,57300000,57300000,,13000000
The Godfather: Part III,66520529,66520529,,54000000
Goodfellas,46743809,46743809,,25000000
The Godfather,134966411,268500000,,7000000
God's Army,2637726,2652515,,300000
The Great Escape,11744471,11744471,,4000000
Gory Gory Hallelujah,12604,12604,,425000
Ghost,217631306,517600000,,22000000
Ghostbusters,238632124,291632124,,30000000
Girl 6,4880941,4880941,,12000000
Goldeneye,106429941,356429941,,60000000
The Glimmer Man,20404841,36404841,,45000000
Glory,26593580,26593580,,18000000
The Gambler,51773,101773,,3000000
Good Morning Vietnam,123922370,123922370,,13000000
Gandhi,52767889,52767889,,22000000
A Guy Named Joe,5363000,5363000,,2627000
Gentleman's Agreement,7800000,7800000,,2000000
Goodbye Bafana,0,2717302,,30000000
Get on the Bus,5691854,5691854,,2400000
The Golden Child,79817937,79817937,,12000000
Good Dick,28835,28835,,200000
Goldfinger,51100000,124900000,,3000000
Groundhog Day,70906973,70906973,,14600000
Gremlins,148168459,148168459,,11000000
Get Real,1152411,1152411,,2000000
Gremlins 2: The New Batch,41476097,41476097,,50000000
The Greatest Story Ever Told,15473333,15473333,,20000000
The Gospel of John,4068087,4068087,,11000000
The Greatest Show on Earth,36000000,36000000,,4000000
The First Great Train Robbery,391942,391942,,6000000
Get Shorty,72021008,115021008,,30250000
Gettysburg,10731997,10731997,,25000000
Guiana 1838,227241,227241,,1000000
Gone with the Wind,198680470,390525192,,3900000
Happiness,2746453,5746453,,3000000
Harley Davidson and the Marlboro Man,7018525,7018525,,23000000
Heavy Metal,19571091,19571091,,9300000
Hell's Angels,,,,4000000
Heartbeeps,6000000,6000000,,10000000
The Helix...  Loaded,3700,3700,,1000000
Hang 'em High,6800000,6800000,,1800000
Hellraiser,14564000,14564000,,1000000
Hero,19487173,66787173,,42000000
Highlander III: The Sorcerer,13738574,13738574,,26000000
Highlander,5900000,12900000,,16000000
How Green Was My Valley,0,0,,1250000
High Noon,8000000,8000000,,730000
History of the World: Part I,31672000,31672000,,11000000
"Hello, Dolly",33208099,33208099,,24000000
Halloween II,25533818,25533818,,2500000
Halloween 3: Season of the Witch,14400000,14400000,,2500000
Halloween 4: The Return of Michael Myers,17768757,17768757,,5000000
Halloween 5: The Revenge of Michael Myers,11642254,11642254,,6000000
Halloween:  The Curse of Michael Myers,15126948,15126948,,5000000
Halloween,47000000,70000000,,325000
Home Alone 2: Lost in New York,173585516,358994850,,20000000
Home Alone,285761243,476684675,,15000000
Home Movies,89134,89134,,400000
Hum to Mohabbt Karega,121807,121807,,2000000
The Hotel New Hampshire,5142858,5142858,,7500000
Henry V,10161099,10161099,,9000000
Housefull,1183658,14883658,,10100000
Hook,119654823,300854823,,70000000
House Party 2,19438638,19438638,,5000000
Hocus Pocus,39360491,39360491,,28000000
The Howling,17985000,17985000,,1000000
High Plains Drifter,15700000,15700000,,15700000
Hoop Dreams,7768371,11768371,,700000
Happy Gilmore,38623460,38623460,,10000000
The Hudsucker Proxy,2816518,14938149,,40000000
A Hard Day's Night,12299668,12299668,,560000
Heroes,655538,655538,,400000
The Hunt for Red October,120709866,200500000,,30000000
Harper,12000000,12000000,,3500000
Harriet the Spy,26570048,26570048,,13000000
Le hussard sur le toit,1320043,1320043,,35000000
The Hustler,7600000,7600000,,2000000
Hud,10000000,10000000,,2500000
Hudson Hawk,17218916,17218916,,65000000
Heaven's Gate,3484331,3484331,,44000000
Hav Plenty,2301777,2301777,,650000
House of Wax,23800000,23800000,,658000
Hawaii,34562222,34562222,,15000000
Howard the Duck,16295774,16295774,,30000000
High Anxiety,31063038,31063038,,3400000
Hybrid,162605,162605,,200000
It's a Wonderful Life,6600000,6600000,19339789,3180000
The Ice Pirates,13075390,13075390,,9000000
Independence Day,306169255,817400878,,75000000
The Island of Dr. Moreau,27682712,27682712,,40000000
Iraq for Sale: The War Profiteers,0,0,,775000
In Her Line of Fire,884,884,,1000000
The Indian in the Cupboard,35627222,35627222,,45000000
I Love You Ã Don't Touch Me!,33598,33598,,68000
Illuminata,836641,836641,,10000000
In Cold Blood,13000000,13000000,,3500000
In the Company of Men,2883661,2883661,,25000
The Inkwell,8864699,8864699,,8000000
Invaders from Mars,4884663,4984663,,12000000
L'incomparable mademoiselle C.,493905,493905,,3400000
Intolerance,,,,385907
The Island,15716828,15716828,,22000000
Eye See You,79161,1807990,,55000000
In the Heat of the Night,24379978,24379978,,2000000
Jack,58617334,58617334,,45000000
Jade,9812870,9812870,,50000000
Jingle All the Way,60592389,129832389,,60000000
Dr. No,16067035,59567035,,1000000
The Jungle Book,44342956,44342956,,27000000
Judge Dredd,34687912,113487912,,85000000
The Jerky Boys,7555256,7555256,,4000000
Jefferson in Paris,2461628,2461628,,14000000
JFK,70405498,205400000,,40000000
Journey from the Fall,635305,635305,,1300000
Jekyll and Hyde... Together Again,3707583,3707583,,5000000
Jumanji,100458310,262758310,,65000000
The Juror,22730924,22730924,,44000000
Jerusalema,7294,7294,,2000000
Jurassic Park,357067947,923067947,,63000000
Johnny Suede,55000,55000,,500000
Jaws,260000000,470700000,,12000000
Jaws 2,102922376,208900376,,20000000
Jaws 4: The Revenge,15728335,15728335,,23000000
Kabhi Alvida Naa Kehna,3275443,32575443,,10750000
Kickboxer,14533681,14533681,,1500000
Kids,7412216,20412216,,1500000
Kingpin,25023424,32223424,,25000000
Kindergarten Cop,91457688,202000000,,26000000
King Kong (1933),10000000,10000000,,670000
King Kong,52614445,90614445,,23000000
Kiss of Death,14942422,14942422,,40000000
The Kings of Appletown,0,0,,7000000
Koltchak,0,38585047,,20000000
Kingdom of the Spiders,17000000,17000000,,500000
Keeping it Real: The Adventures of Greg Walloch,1358,1358,,100000
Akira,19585,19585,,8000000
Krush Groove,11052713,11052713,,3000000
Krrish,1430721,32430721,,10000000
Kansas City,1353824,1353824,,19000000
The Last Emperor,43984000,43984000,,25000000
Last Action Hero,50016394,137298489,,85000000
Live and Let Die,35400000,161800000,,7000000
Lage Raho Munnabhai,2217561,31517561,,2700000
The Last Waltz,321952,321952,,35000
The Last Big Thing,22434,22434,,1000000
The Land Before Time,48092846,81972846,,12300000
The Longest Day,39100000,50100000,,10000000
The Living Daylights,51185000,191200000,,40000000
Aladdin,217350219,504050219,,28000000
A Low Down Dirty Shame,29317886,29317886,,10000000
Love and Death on Long Island,2542264,2542264,,4030000
Ladyhawke,18400000,18400000,,20000000
Nikita,5017971,5017971,,7000000
Lion of the Desert,1500000,1500000,,35000000
Legal Eagles,49851591,49851591,,40000000
Legend,15502112,15502112,,25000000
The Last House on the Left,3100000,3100000,,87000
Lifeforce,11603545,11603545,,25000000
Lady in White,1705139,1705139,,4700000
The Long Kiss Goodnight,33447612,33447612,,65000000
Lake of Fire,25317,25317,,6000000
Elling,313436,313436,,2100000
Lolita (1962),9250000,9250000,,2000000
Elmer Gantry,10400000,10400000,,3000000
El Mariachi,2040920,2040920,,7000
Last Man Standing,18115927,18115927,,67000000
Aliens,85160248,183316455,,17000000
AlienÂ³,54927174,158500000,,55000000
The Lion King,328539505,783839505,,79300000
Love and Death,20123742,20123742,,3000000
Love and Other Catastrophes,212285,743216,,250000
Love Letters,5269990,5269990,,550000
The Legend of the Lone Ranger,13400000,13400000,,18000000
The Last of the Mohicans,72455275,72455275,,40000000
Love Me Tender,9000000,9000000,,1000000
The Long Riders,15198912,15198912,,10000000
Losin' It,1246141,1246141,,7000000
The Loss of Sexual Innocence,399793,399793,,4000000
Legends of the Fall,66502573,66502573,,30000000
A League of Their Own,107533925,132440066,,40000000
Loaded Weapon 1,27979399,27979399,,13000000
The Lost Weekend,11000000,11000000,,1250000
Le petit Nicolas,201857,52339566,,30000000
Logan's Run,25000000,25000000,,7000000
Betty Fisher et autres histoires,206400,206400,,7500000
Light Sleeper,1050861,1050861,,5000000
Little Shop of Horrors,38747385,38747385,,30000000
Lone Star,12961389,12961389,,5000000
Latter Days,833118,833118,,850000
Lethal Weapon,65192350,120192350,,15000000
Lethal Weapon 3,144731527,319700000,,35000000
The Last Time I Committed Suicide,12836,12836,,4000000
Little Voice,4595000,4595000,,6000000
The Last Temptation of Christ,8373585,8373585,,7000000
License to Kill,34667015,156167015,,42000000
Cama adentro,200433,200433,,800000
Leaving Las Vegas,31983777,49800000,,4000000
The Lawnmower Man,32100816,32100816,,10000000
Lone Wolf McQuade,12232628,12232628,,5000000
Little Women,50003303,50003303,,15000000
Lawrence of Arabia,37495385,69995385,,15000000
Menace II Society,27731527,27731527,,3500000
Much Ado About Nothing,22549338,22549338,,8000000
Major Dundee,14873,14873,,3800000
The Magic Flute,0,0,,27000000
Mata Hari,900000,900000,,558000
Malcolm X,48169910,48169910,,35000000
Maniac,10000000,10000000,,350000
Mary Poppins,102300000,102300000,,6000000
Mary Reilly,5707094,6370115,,47000000
Maximum Risk,14102929,51702929,,25000000
M*A*S*H,81600000,81600000,,3500000
The Mask,119920129,343900000,,18000000
Mars Attacks!,37771017,101371017,,80000000
Mo' Better Blues,16153000,16153000,,10000000
Moby Dick,10400000,10400000,,4500000
My Beautiful Laundrette,0,0,,400000
Michael Jordan to the MAX,18642318,18642318,,7000000
Michael Collins,11092559,27572844,,25000000
My Cousin Vinny,52929168,52929168,,11000000
Medicine Man,44948240,44948240,,40000000
Madadayo,48856,48856,,11900000
Modern Problems,24474312,24474312,,8000000
Amadeus,51973029,51973029,,18000000
Modern Times,163245,163245,,1500000
The Mighty Ducks,50752337,50752337,,10000000
A Man for All Seasons,28350000,28350000,,3900000
Megaforce,5675599,5675599,,18000000
The Mirror Has Two Faces,41267469,41267469,,42000000
Midnight Cowboy,44785053,44785053,,3600000
Midnight Run,38413606,81613606,,30000000
Major League,49793054,49793054,,11000000
The Molly Maguires,2200000,2200000,,11000000
Malevolence,126021,257516,,200000
Mad Max 2: The Road Warrior,24600832,24600832,,2000000
It's a Mad Mad Mad Mad World,46300000,60000000,,9400000
Mad Max,8750000,99750000,,200000
Mad Max Beyond Thunderdome,36230219,36230219,,10000000
The Man From Snowy River,20659423,20659423,,5000000
Men of War,0,0,,6000000
Monty Python and the Holy Grail,3427696,5028948,,400000
Men with Brooms,4239767,4239767,,7500000
Mutiny on The Bounty,13680000,13680000,,19000000
Mommie Dearest,19032000,25032000,,5000000
March or Die,1000000,1000000,,7000000
Memoirs of an Invisible Man,14358033,14358033,,40000000
The Mongol King,900,900,,7000
My Own Private Idaho,6401336,6401336,,2500000
Moonraker,70300000,210300000,,31000000
Money Train,35324232,77224232,,68000000
Metropolitan,2938000,2938000,,430000
The Life of Brian,20008693,20008693,,4000000
Mallrats,2108367,2108367,,6100000
American Desi,902835,1366235,,250000
Mrs. Winterbourne,10039566,10039566,,25000000
Mrs. Doubtfire,219195051,441286003,,25000000
Mr. Smith Goes To Washington,9000000,9000000,,1500000
Mortal Kombat,70433227,122133227,,20000000
Frankenstein,22006296,112006296,,45000000
The Misfits,8200000,8200000,,4000000
My Stepmother Is an Alien,13854000,13854000,,16000000
The Man Who Shot Liberty Valance,8000000,8000000,,3200000
Mission: Impossible,180981886,456481886,,80000000
Meteor,8400000,8400000,,16000000
Multiplicity,20133326,20133326,,45000000
Mutual Appreciation,103509,103509,,30000
The Muppet Christmas Carol,27281507,27281507,,12000000
The Man with the Golden Gun,21000000,97600000,,7000000
My Fair Lady,72000000,72000000,,17000000
Mystic Pizza,12793213,12793213,,6000000
Namastey London,1207007,6831069,,8400000
Naturally Native,10508,10508,,700000
Inchon,4408636,4408636,,46000000
Indiana Jones and the Temple of Doom,179880271,333080271,18998388,28000000
Indiana Jones and the Last Crusade,197171806,474171806,18740425,48000000
Neal n' Nikki,100358,329621,,1300000
A Nightmare on Elm Street 4: The Dream Master,49369899,49369899,,13000000
"Next Stop, Wonderland",3386698,3456820,,1000000
Nighthawks,14600000,19600000,,5000000
The English Patient,78716374,231716374,,35000000
Niagara,2500000,2500000,,1250000
The Naked Gun 2Î©: The Smell of Fear,86930411,86930411,,23000000
Naked Gun 33 1/3: The Final Insult,51041856,51041856,,30000000
National Lampoon's Animal House,141600000,141600000,,3000000
