Title,Release_Date,MPAA_Rating,Running_Time_min,Distributor,Source,Major_Genre,Creative_Type,Director,Rotten_Tomatoes_Rating,IMDB_Rating,IMDB_Votes
Annie Hall,20-Apr-77,,,MGM,Original Screenplay,Comedy,,Woody Allen,98,8.2,65406
Anatomie,8-Sep-00,Not Rated,,Sony Pictures,Original Screenplay,Horror,,,,6.1,6266
The Adventures of Huck Finn,2-Apr-93,PG,,Walt Disney Pictures,Based on Book/Short Story,Adventure,Historical Fiction,Stephen Sommers,62,5.8,3095
The Apartment,1960-01-01,,,United Artists,Original Screenplay,Romantic Comedy,,Billy Wilder,91,8.4,36485
Apocalypse Now,15-Aug-79,R,,MGM,Based on Book/Short Story,Action,Historical Fiction,Francis Ford Coppola,98,8.6,173141
Arachnophobia,18-Jul-90,,,Walt Disney Pictures,Original Screenplay,Thriller/Suspense,Science Fiction,Frank Marshall,85,6.2,20528
Arn - Tempelriddaren,25-Dec-07,R,,,Based on Book/Short Story,Action,Historical Fiction,,,6.4,6251
Arnolds Park,19-Oct-07,PG-13,,The Movie Partners,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,,5.1,77
Sweet Sweetback's Baad Asssss Song,1-Jan-71,,,,,,,,,5.6,1769
And Then Came Love,1-Jun-07,Not Rated,,Fox Meadow,,Comedy,,,17,4.4,200
Around the World in 80 Days,17-Oct-56,PG,,United Artists,Based on Book/Short Story,Adventure,,,73,5.6,21516
Barbarella,10-Oct-68,,,Paramount Pictures,Based on Comic/Graphic Novel,Adventure,Science Fiction,,74,5.7,10794
Barry Lyndon,1975-01-01,,,Warner Bros.,Based on Book/Short Story,Drama,,Stanley Kubrick,94,8.1,39909
"Barbarians, The","March, 1987",,,,,,,,,5.4,236
Babe,4-Aug-95,G,,Universal,Based on Book/Short Story,Adventure,Contemporary Fiction,Chris Noonan,98,7.3,35644
Boynton Beach Club,24-Mar-06,R,104,Wingate Distribution,Original Screenplay,Romantic Comedy,Contemporary Fiction,,,,
Baby's Day Out,1-Jul-94,PG,,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,Patrick Read Johnson,21,5,8332
Bound by Honor,16-Apr-93,,,Walt Disney Pictures,Original Screenplay,,,Taylor Hackford,,7.7,10142
"Bon Cop, Bad Cop",4-Aug-06,Not Rated,,Alliance,Original Screenplay,Comedy,Contemporary Fiction,,67,6.9,151
Back to the Future,3-Jul-85,,,Universal,Original Screenplay,Adventure,Science Fiction,Robert Zemeckis,96,8.4,201598
Back to the Future Part II,22-Nov-89,,,Universal,Original Screenplay,Adventure,Science Fiction,Robert Zemeckis,64,7.5,87341
Back to the Future Part III,24-May-90,,,Universal,Original Screenplay,Adventure,Science Fiction,Robert Zemeckis,71,7.1,77541
Butch Cassidy and the Sundance Kid,24-Oct-69,,,20th Century Fox,,Western,Historical Fiction,George Roy Hill,90,8.2,57602
Bad Boys,7-Apr-95,R,,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Michael Bay,39,6.6,53929
Body Double,26-Oct-84,,,Sony/Columbia,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Brian De Palma,84,6.4,9738
"The Beast from 20,000 Fathoms",13-Jun-53,,,Warner Bros.,Based on Book/Short Story,,,,90,,
Beastmaster 2: Through the Portal of Time,30-Aug-91,,,New Line,Based on Book/Short Story,,Fantasy,,17,3.3,1327
The Beastmaster,20-Aug-82,,,MGM,Based on Book/Short Story,Action,Fantasy,,50,5.7,5734
Ben-Hur,30-Dec-25,,,MGM,Based on Book/Short Story,Adventure,,,,8.2,58510
Ben-Hur,18-Nov-59,,,MGM,Based on Book/Short Story,Adventure,,William Wyler,91,8.2,58510
Benji,15-Nov-74,,,,Original Screenplay,Adventure,,,83,5.8,1801
Before Sunrise,27-Jan-95,R,,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,Richard Linklater,100,8,39705
Beauty and the Beast,13-Nov-91,G,,Walt Disney Pictures,Based on Book/Short Story,Musical,Fantasy,Gary Trousdale,93,3.4,354
The Best Years of Our Lives,21-Nov-46,,,RKO Radio Pictures,Based on Book/Short Story,Drama,,William Wyler,97,8.2,17338
The Ballad of Gregorio Cortez,19-Aug-83,,,Embassy,Based on Book/Short Story,Western,Historical Fiction,,,,
My Big Fat Independent Movie,30-Sep-05,R,,Big Fat Movies,,Comedy,Contemporary Fiction,,23,3.2,1119
Battle for the Planet of the Apes,1973-01-01,,,20th Century Fox,,,Science Fiction,Jack Lee Thompson,38,5,6094
Big Things,31-Dec-09,,,,,,,,,,
Bogus,6-Sep-96,PG,,Warner Bros.,Original Screenplay,Comedy,Fantasy,Norman Jewison,40,4.8,2742
Beverly Hills Cop,5-Dec-84,,,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,Martin Brest,83,7.3,45065
Beverly Hills Cop II,20-May-87,R,,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,Tony Scott,46,6.1,29712
Beverly Hills Cop III,25-May-94,R,,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,John Landis,10,5,21199
The Black Hole,21-Dec-79,,,Walt Disney Pictures,Original Screenplay,,Science Fiction,,42,5.6,7810
Bathory,10-Jul-08,,,,,,,,,6.1,1446
Big,3-Jun-88,,,20th Century Fox,Original Screenplay,Comedy,Fantasy,Penny Marshall,96,7.2,49256
The Big Parade,1-Jan-25,,,MGM,Based on Play,Drama,,King Vidor,100,8.4,2600
Boyz n the Hood,12-Jul-91,,,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,John Singleton,98,7.8,30299
"The Book of Mormon Movie, Volume 1: The Journey",12-Sep-03,PG,,Distributor Unknown,Based on Book/Short Story,Drama,Historical Fiction,,,,
Return to the Blue Lagoon,1991-01-01,,,,,,,,,4.3,4632
"Bright Lights, Big City",1-Apr-88,R,,United Artists,Based on Book/Short Story,Drama,Contemporary Fiction,,61,6.8,11929
The Blue Bird,1976-01-01,,,20th Century Fox,Based on Play,,Fantasy,George Cukor,,4.9,359
The Blue Butterfly,20-Feb-04,PG,,Alliance,Original Screenplay,Drama,Contemporary Fiction,,44,6.2,817
Blade Runner,25-Jun-82,R,,Warner Bros.,Based on Book/Short Story,Thriller/Suspense,Science Fiction,Ridley Scott,92,8.3,185546
Bloodsport,26-Feb-88,,,Cannon,Original Screenplay,Action,Contemporary Fiction,,,6.2,19816
The Blues Brothers,20-Jun-80,,,Universal,Original Screenplay,Musical,Contemporary Fiction,John Landis,84,7.9,62941
Blow Out,24-Jul-81,,,Filmways Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Brian De Palma,89,7.1,10239
De battre mon coeur s'est arrÃtÃ,1-Jul-05,Not Rated,,WellSpring,Original Screenplay,Drama,Contemporary Fiction,,,7.3,7295
The Broadway Melody,1929-01-01,,,MGM,Original Screenplay,Musical,,,38,6.7,2017
Boom Town,1940-01-01,,,MGM,Original Screenplay,,,,,7.1,1115
Bound,4-Oct-96,R,,Gramercy,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Andy Wachowski,88,7.4,23564
Bang,1-Apr-96,,,JeTi Films,Original Screenplay,Thriller/Suspense,Contemporary Fiction,"Jeff """"King Jeff"""" Hollins",,6.3,369
Bananas,28-Apr-71,PG-13,,MGM,Original Screenplay,Comedy,,Woody Allen,89,7.1,12415
Bill & Ted's Bogus Journey,19-Jul-91,,,Orion Pictures,Original Screenplay,Comedy,Fantasy,Peter Hewitt,58,5.8,20188
The Birth of a Nation,8-Feb-15,,,,Based on Book/Short Story,Drama,,,100,7.1,8901
The Ballad of Cable Hogue,13-May-70,,,Warner Bros.,Original Screenplay,Western,Historical Fiction,Sam Peckinpah,92,7.3,3125
The Blood of Heroes,23-Feb-90,,,New Line,Original Screenplay,Action,,,,6.2,2523
The Blood of My Brother: A Story of Death in Iraq,30-Jun-06,,,Lifesize Entertainment,Based on Real Life Events,Documentary,Factual,,71,7.6,90
Boomerang,1-Jul-92,,,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,,37,5.9,202
The Bridge on the River Kwai,18-Dec-57,,,Sony/Columbia,Based on Book/Short Story,Drama,,David Lean,95,8.4,58641
Born on the Fourth of July,20-Dec-89,,,Universal,Based on Book/Short Story,Drama,Dramatization,Oliver Stone,89,7.2,32108
Basquiat,9-Aug-96,R,,Miramax,Based on Real Life Events,Drama,Dramatization,Julian Schnabel,69,6.7,7935
Black Rain,22-Sep-89,,,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Ridley Scott,57,4.1,137
Bottle Rocket,21-Feb-96,R,,Sony Pictures,Based on Short Film,Adventure,,Wes Anderson,79,7.2,21980
Braindead,12-Feb-93,,,Trimark,Original Screenplay,Horror,,Peter Jackson,,7.6,32827
The Bridges of Madison County,2-Jun-95,PG-13,,Warner Bros.,Based on Book/Short Story,Drama,Historical Fiction,Clint Eastwood,90,7.2,21923
The Brothers McMullen,9-Aug-95,R,,Fox Searchlight,Original Screenplay,Drama,Contemporary Fiction,Edward Burns,91,6.4,4365
Dracula,13-Nov-92,R,,Sony Pictures,Based on Book/Short Story,Horror,Fantasy,Francis Ford Coppola,,6.4,136
Broken Arrow,9-Feb-96,R,108,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,John Woo,55,5.8,33584
Brainstorm,30-Sep-83,,,MGM,Based on Book/Short Story,Thriller/Suspense,Science Fiction,,64,6.3,4410
Braveheart,24-May-95,R,,Paramount Pictures,Based on Real Life Events,Drama,Dramatization,Mel Gibson,77,8.4,240642
Les BronzÃs 3: amis pour la vie,1-Feb-06,,,,,Comedy,Contemporary Fiction,,,4.4,1254
Brazil,18-Dec-85,R,136,Universal,Original Screenplay,Black Comedy,Fantasy,Terry Gilliam,98,8,76635
Blazing Saddles,1-Jan-74,,,Warner Bros.,Original Screenplay,Comedy,,Mel Brooks,89,7.8,45771
The Basket,5-May-00,PG,,MGM,Original Screenplay,Drama,,,,6.3,343
Bathing Beauty,1944-01-01,,,MGM,Original Screenplay,Musical,,,,6.2,487
Bill & Ted's Excellent Adventure,17-Feb-89,,,Orion Pictures,Original Screenplay,Comedy,Science Fiction,Stephen Herek,81,6.7,30341
A Bridge Too Far,15-Jun-77,,,MGM,Based on Book/Short Story,Action,,Sir Richard Attenborough,67,7.3,16882
Beetle Juice,30-Mar-88,,,Warner Bros.,Original Screenplay,Comedy,Fantasy,Tim Burton,,7.3,61197
Batman Returns,18-Jun-92,PG-13,,Warner Bros.,Original Screenplay,Action,Super Hero,Tim Burton,78,6.9,78673
Batman Forever,16-Jun-95,PG-13,,Warner Bros.,Original Screenplay,Action,Super Hero,Joel Schumacher,43,5.4,76218
Batman - The Movie,21-Aug-01,,,,,,,,,,
Batman,23-Jun-89,PG-13,,Warner Bros.,Based on Comic/Graphic Novel,Action,Super Hero,Tim Burton,71,7.6,111464
Buffy the Vampire Slayer,31-Jul-92,,,20th Century Fox,Original Screenplay,Horror,Fantasy,,32,5.3,16056
Bienvenue chez les Ch'tis,25-Jul-08,Not Rated,109,Link Productions Ltd.,Original Screenplay,Comedy,Contemporary Fiction,,,7,7129
Beyond the Valley of the Dolls,1-Jan-70,,,20th Century Fox,Original Screenplay,Comedy,,,68,5.7,4626
Broken Vessels,2-Jul-99,R,,,Original Screenplay,Drama,,,,6.4,399
The Boys from Brazil,1978-01-01,,,20th Century Fox,Based on Book/Short Story,Thriller/Suspense,,Franklin J. Schaffner,65,7,8741
The Business of Fancy Dancing,10-May-02,Not Rated,,Outrider Pictures,Original Screenplay,Drama,Contemporary Fiction,,,7,355
Caddyshack,25-Jul-80,,,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Harold Ramis,75,7.3,35436
Cape Fear,15-Nov-91,R,,Universal,Remake,Thriller/Suspense,Contemporary Fiction,Martin Scorsese,76,7.3,47196
Clear and Present Danger,3-Aug-94,PG-13,,Paramount Pictures,Based on Book/Short Story,Action,Contemporary Fiction,Phillip Noyce,78,6.8,29612
Carrie,16-Nov-76,,,MGM,Based on Book/Short Story,Horror,Contemporary Fiction,Brian De Palma,90,7.4,38767
Casino Royale,28-Apr-67,,,Sony Pictures,Based on Book/Short Story,Comedy,Contemporary Fiction,John Huston,30,8,172936
Camping Sauvage,16-Jul-04,Not Rated,,Alliance,Original Screenplay,Comedy,Contemporary Fiction,,,6,378
The Cotton Club,14-Dec-84,,,Orion Pictures,Original Screenplay,Drama,Historical Fiction,Francis Ford Coppola,74,6.3,6940
Crop Circles: Quest for Truth,23-Aug-02,,,,,,,,60,7.1,153
Close Encounters of the Third Kind,16-Nov-77,,,Sony Pictures,Original Screenplay,Adventure,Science Fiction,Steven Spielberg,95,7.8,59049
The Cable Guy,14-Jun-96,PG-13,95,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Ben Stiller,52,5.8,51109
Chocolate: Deep Dark Secrets,16-Sep-05,Not Rated,,Eros Entertainment,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,,4.6,527
Child's Play,9-Nov-88,,,United Artists,Original Screenplay,Horror,Fantasy,,70,6.3,16165
Child's Play 2,9-Nov-90,,,Universal,Original Screenplay,Horror,Fantasy,,38,5.1,8666
Chain Reaction,2-Aug-96,PG-13,106,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,Andrew Davis,13,5.2,15817
Charly,27-Sep-02,PG,,Excel Entertainment,Based on Book/Short Story,Drama,Contemporary Fiction,,,5.8,60
Chariots of Fire,25-Sep-81,,,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Hugh Hudson,86,7.3,16138
A Christmas Story,18-Nov-83,PG,,MGM,Based on Book/Short Story,Comedy,Historical Fiction,,88,8,51757
Cat on a Hot Tin Roof,20-Sep-58,,,MGM,Based on Play,Drama,Contemporary Fiction,Richard Brooks,100,8,14540
C.H.U.D.,31-Aug-84,,,New World,Original Screenplay,Horror,Fantasy,,,5,2806
"Charge of the Light Brigade, The",20-Oct-36,,,Warner Bros.,Based on Real Life Events,Action,Dramatization,Michael Curtiz,,,
Crooklyn,13-May-94,PG-13,,Universal,Original Screenplay,Comedy,Historical Fiction,Spike Lee,75,6.5,3137
Festen,9-Oct-98,R,,October Films,Original Screenplay,Comedy,Contemporary Fiction,Thomas Vinterberg,,8.1,26607
Cleopatra,12-Jun-63,,,20th Century Fox,Based on Real Life Events,Drama,Dramatization,,40,6.8,7870
Cliffhanger,28-May-93,,,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Renny Harlin,82,6.2,34447
The Californians,21-Oct-05,PG,,Fabrication Films,Original Screenplay,Drama,Contemporary Fiction,,,5.1,226
The Client,20-Jul-94,PG-13,,Warner Bros.,Based on Book/Short Story,Drama,Contemporary Fiction,Joel Schumacher,80,6.5,19299
The Calling,1-Mar-02,PG,,Testimony Pictures,Original Screenplay,Drama,Contemporary Fiction,Michael C. Brown,,3.4,1113
Clueless,1-Jul-95,PG-13,,Paramount Pictures,Based on Book/Short Story,Comedy,Contemporary Fiction,Amy Heckerling,83,6.7,39055
The Color Purple,18-Dec-85,,,Warner Bros.,Based on Book/Short Story,Drama,Historical Fiction,Steven Spielberg,88,7.7,26962
Clerks,19-Oct-94,R,,Miramax,Original Screenplay,Comedy,Contemporary Fiction,Kevin Smith,88,7.9,89991
Central do Brasil,20-Nov-98,R,,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,Walter Salles,,8,17343
Clash of the Titans,12-Jun-81,,108,MGM,Traditional/Legend/Fairytale,Adventure,Fantasy,,65,5.9,45773
Clockwatchers,15-May-98,PG-13,,Artistic License,,,,,,5.9,3171
Commando,4-Oct-85,,,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,,71,4.5,49
The Color of Money,17-Oct-86,,,Walt Disney Pictures,,Drama,Contemporary Fiction,Martin Scorsese,91,6.9,25824
Cinderella,15-Feb-50,,,Walt Disney Pictures,Traditional/Legend/Fairytale,Drama,Fantasy,,92,5.1,373
Congo,9-Jun-95,PG-13,,Paramount Pictures,Based on Book/Short Story,Adventure,Contemporary Fiction,Frank Marshall,21,4.6,17954
Conan the Barbarian,14-May-82,,,Universal,Based on Book/Short Story,Action,Fantasy,John Milius,76,6.8,38886
Conan the Destroyer,29-Jun-84,,,Universal,Based on Book/Short Story,Action,Fantasy,Richard Fleischer,29,5.4,20368
Class of 1984,20-Aug-82,,,United Film Distribution Co.,Original Screenplay,Drama,Contemporary Fiction,,,6.3,2945
The Clan of the Cave Bear,17-Jan-86,,,Warner Bros.,Based on Book/Short Story,Adventure,Historical Fiction,,13,4.9,2763
The Case of the Grinning Cat,21-Jul-06,Not Rated,,First Run/Icarus,Based on Real Life Events,Documentary,Factual,,,,
Bacheha-Ye aseman,22-Jan-99,PG,,Miramax,Original Screenplay,Comedy,Contemporary Fiction,,,8,6657
Coming Home,1978-01-01,,,,,,,Hal Ashby,81,7.3,4410
Nanjing! Nanjing!,17-Nov-09,R,,National Geographic Entertainment,,,,,,7.6,1725
Cool Runnings,1-Oct-93,,,Walt Disney Pictures,Based on Real Life Events,Comedy,Contemporary Fiction,Jon Turteltaub,73,6.5,24533
Conquest of the Planet of the Apes,1972-01-01,,,,,,,Jack Lee Thompson,44,5.8,6188
Cure,6-Jul-01,Not Rated,,,,,,,,7.4,2724
Crocodile Dundee,26-Sep-86,,,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,,88,6.5,27277
Dayereh,9-Mar-01,Not Rated,,WinStar Cinema,Original Screenplay,Drama,Contemporary Fiction,,,7.3,1851
Karakter,27-Mar-98,R,,Sony Pictures Classics,Based on Book/Short Story,Drama,Historical Fiction,,,7.8,5531
Creepshow,10-Nov-82,,,Warner Bros.,Based on Book/Short Story,Horror,Fantasy,George A. Romero,67,6.5,12530
Creepshow 2,1-May-87,,,New World,Based on Book/Short Story,Horror,Fantasy,,26,5.4,5910
The Crying Game,25-Nov-92,R,,Miramax,Original Screenplay,Drama,Contemporary Fiction,Neil Jordan,100,7.3,21195
Crimson Tide,12-May-95,R,,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,Tony Scott,86,7.2,33354
Caravans,1978-01-01,,,Universal,Based on Book/Short Story,Adventure,Historical Fiction,,,5.8,173
Crying With Laughter,31-Dec-09,,,,,,,,,,
Fengkuang de Shitou,30-Jun-06,,,,Original Screenplay,Black Comedy,Contemporary Fiction,,,7.6,1209
Casablanca,1942-01-01,,,Warner Bros.,Based on Play,Drama,Historical Fiction,Michael Curtiz,97,8.8,167939
Casino,22-Nov-95,R,,Universal,Based on Book/Short Story,Drama,Historical Fiction,Martin Scorsese,81,8.1,108634
Casper,26-May-95,PG,,Universal,Based on TV,Comedy,Fantasy,Brad Silberling,41,5.7,26121
Can't Stop the Music,1980-01-01,,,,Original Screenplay,Musical,Contemporary Fiction,,,3.5,2146
Catch-22,24-Jun-70,,,Paramount Pictures,Based on Book/Short Story,Comedy,Historical Fiction,Mike Nichols,87,7.1,9671
City Hall,16-Feb-96,R,111,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,Harold Becker,55,6.1,9908
Cutthroat Island,22-Dec-95,PG-13,,MGM,Original Screenplay,Adventure,Historical Fiction,Renny Harlin,45,5.3,10346
La femme de chambre du Titanic,14-Aug-98,,,MGM,Based on Book/Short Story,Drama,Historical Fiction,,,6.8,822
Cat People,16-Nov-42,,,RKO Radio Pictures,Original Screenplay,Drama,Fantasy,,91,5.9,6791
Courage Under Fire,12-Jul-96,R,115,20th Century Fox,Original Screenplay,Drama,Historical Fiction,Edward Zwick,85,6.6,19682
C'era una volta il West,28-May-69,PG-13,,Paramount Pictures,Original Screenplay,Western,Historical Fiction,Sergio Leone,,8.8,74184
The Conversation,7-Apr-74,,,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Francis Ford Coppola,98,8.1,33005
Cavite,26-May-06,Not Rated,,Truly Indie,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,,6,487
Copycat,27-Oct-95,R,,Warner Bros.,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Jon Amiel,75,6.5,17182
Dark Angel,28-Sep-90,,,Triumph Releasing,Original Screenplay,Action,Science Fiction,,,5.3,3396
"Boot, Das",10-Feb-82,R,,Sony/Columbia,Based on Book/Short Story,Drama,Historical Fiction,Wolfgang Petersen,,4.3,2184
Desperado,25-Aug-95,R,,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Robert Rodriguez,61,7,51515
Dumb & Dumber,16-Dec-94,PG-13,,New Line,Original Screenplay,Comedy,Contemporary Fiction,Bobby Farrelly,,7.2,88093
Diamonds Are Forever,17-Dec-71,,,MGM,Based on Book/Short Story,Action,,Guy Hamilton,67,6.7,25354
The Dark Half,23-Apr-93,,,Orion Pictures,Based on Book/Short Story,Horror,Fantasy,George A. Romero,,5.7,5488
The Dark Hours,13-Oct-05,R,,Freestyle Releasing,,Horror,,,,6.3,2804
Dante's Peak,7-Feb-97,PG-13,108,Universal,Original Screenplay,Drama,Contemporary Fiction,Roger Donaldson,28,5.6,23472
Daylight,6-Dec-96,PG-13,115,Universal,Original Screenplay,Action,Contemporary Fiction,Rob Cohen,22,5.4,20052
Dick Tracy,15-Jun-90,,,Walt Disney Pictures,Based on Comic/Graphic Novel,Action,Super Hero,Warren Beatty,65,5.9,25364
Decoys,27-Feb-04,R,,,,,,,,4.4,2486
Dawn of the Dead,20-Apr-79,,,United Film Distribution Co.,,Horror,,,,7.4,73875
The Addams Family,22-Nov-91,,,Paramount Pictures,Based on TV,Comedy,Fantasy,Barry Sonnenfeld,59,6.6,28907
Death Becomes Her,31-Jul-92,,,Universal,Original Screenplay,Comedy,Fantasy,Robert Zemeckis,53,6,27681
Def-Con 4,15-Mar-85,,,New World,Original Screenplay,Action,Science Fiction,,,3.8,639
